question_id,subject,class,chapter,topic,provider,difficulty,question_type,question,option_A,option_B,option_C,option_D,proposed_answer,NCERT_source,validator_verdict,human_stem,human_option_A,human_option_B,human_option_C,human_option_D,human_answer,human_explanation,human_ncert_support,human_ambiguity,human_duplicate,human_difficulty,human_neet_suitability,human_overall,reviewer_notes,preaudit_answer_check,preaudit_answer_confidence,preaudit_calculation_check,preaudit_calculated_answer,preaudit_calculation_notes,preaudit_stem_issue,preaudit_stem_severity,preaudit_option_quality,preaudit_option_issue,preaudit_option_severity,preaudit_ncert_support,preaudit_ncert_issue,preaudit_scientific_issue,preaudit_scientific_severity,preaudit_assertion_reason_check,preaudit_question_type_check,preaudit_neet_suitability,preaudit_independent_difficulty,preaudit_duplicate_status,preaudit_duplicate_question_id,preaudit_duplicate_similarity,preaudit_priority,preaudit_verdict,preaudit_reason,preaudit_recommended_action,preaudit_version
p3-mcq-0006-46f7f225,BIOLOGY,12,5,chapter-5-page-10,gemini,MEDIUM,assertion_reasoning,"Given below are two statements: one is labelled as Assertion (A) and the other is labelled as Reason (R).
Assertion (A): DNA has evolved from RNA with chemical modifications that make it more stable.
Reason (R): RNA being a catalyst was reactive and hence unstable.
In the light of the above statements, choose the correct answer from the options given below:",Both (A) and (R) are correct and (R) is the correct explanation of (A),Both (A) and (R) are correct but (R) is NOT the correct explanation of (A),(A) is correct but (R) is incorrect,(A) is incorrect but (R) is correct,A,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-5.pdf,MAJOR_REVISION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options; near_duplicate_options,MAJOR,SUPPORTED_INFERENCE,,,NONE,assertion_true=UNVERIFIED;reason_true=UNVERIFIED;reason_explains_assertion=UNVERIFIED;proposed_option=A,TYPE_CORRECT,SUITABLE,MEDIUM,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0017-27420f19,BIOLOGY,11,9,chapter-9-page-2,openai,MEDIUM,match_relationship,Match the following inorganic elements to their respective percentage weight in the human body as mentioned in the NCERT excerpt.,Calcium (Ca) - 1.5%,Sodium (Na) - 2.8%,Magnesium (Mg) - 0.1%,Sulphur (S) - 0.3%,A,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-9.pdf,INCONCLUSIVE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,GOOD,,NONE,SUPPORTED_INFERENCE,,,NONE,,TYPE_CORRECT,SUITABLE,MEDIUM,UNIQUE,,0.0,LOW,PREAUDIT_REVIEW,no_obvious_defect_in_automated_screening,LIKELY_ACCEPT,p2_3_pre_human_audit_v1
p3-mcq-0027-9fef1de0,BIOLOGY,11,19,chapter-19-page-6,gemini,HARD,assertion_reasoning,"Given below are two statements: one is labelled as Assertion (A) and the other is labelled as Reason (R).

Assertion (A): Adrenaline and noradrenaline are commonly referred to as emergency hormones or hormones of Fight or Flight.
Reason (R): Underproduction of hormones by the adrenal medulla alters carbohydrate metabolism causing acute weakness and fatigue leading to Addison's disease.

In the light of the above statements, choose the correct answer from the options given below:",Both (A) and (R) are true and (R) is the correct explanation of (A).,Both (A) and (R) are true but (R) is NOT the correct explanation of (A).,(A) is true but (R) is false.,(A) is false but (R) is true.,C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-19.pdf,REJECT,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options,MAJOR,SUPPORTED_INFERENCE,,,NONE,assertion_true=UNVERIFIED;reason_true=UNVERIFIED;reason_explains_assertion=UNVERIFIED;proposed_option=C,TYPE_CORRECT,SUITABLE,HARD,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0051-0e9610d5,BIOLOGY,12,4,chapter-4-page-7,gemini,MEDIUM,numerical,"Based on the text describing allele segregation during gamete formation in a heterozygous tall plant (Tt), what is the probability (expressed as a percentage) that a given gamete produced by this plant contains the allele 't'?",25 per cent,50 per cent,75 per cent,100 per cent,B,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-4.pdf,READY,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,INCONCLUSIVE,0.25,INCONCLUSIVE,,No deterministic calculator matched this numerical pattern,,NONE,WEAK,near_duplicate_options; near_duplicate_options; near_duplicate_options,MAJOR,DIRECT,,,NONE,,TYPE_MISMATCH,QUESTIONABLE,MEDIUM,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0056-53554442,BIOLOGY,12,8,chapter-8-page-8,openai,HARD,factual,Which of the following statements about biogas plants is NOT supported by the NCERT excerpt?,Biogas plants are more frequently built in urban areas.,The biogas produced can be used for cooking and lighting.,Cattle dung is a primary resource for biogas production in rural areas.,Spent slurry from biogas plants can be utilized as fertilizer.,A,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-8.pdf,INCONCLUSIVE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,GOOD,,NONE,SUPPORTED_INFERENCE,,,NONE,,TYPE_CORRECT,SUITABLE,HARD,UNIQUE,,0.0,LOW,PREAUDIT_REVIEW,no_obvious_defect_in_automated_screening,LIKELY_ACCEPT,p2_3_pre_human_audit_v1
p3-mcq-0057-90a34bdb,BIOLOGY,11,19,chapter-19-page-10,gemini,EASY,statement_based,"Read the following two statements regarding the mechanism of hormone action:
Statement I: Hormones that interact with membrane-bound receptors normally do not enter the target cell, but generate second messengers such as cyclic AMP, IP3, and Ca++.
Statement II: Hormones that interact with intracellular receptors mostly regulate gene expression or chromosome function by interaction of the hormone-receptor complex with the genome.

Choose the correct option:",Both Statement I and Statement II are incorrect.,Statement I is correct but Statement II is incorrect.,Statement I is incorrect but Statement II is correct.,Both Statement I and Statement II are correct.,D,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-19.pdf,READY,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options; near_duplicate_options,MAJOR,DIRECT,,,NONE,,TYPE_CORRECT,SUITABLE,EASY,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0084-20c4c995,BIOLOGY,11,5,chapter-5-page-15,gemini,MEDIUM,factual,"Based on the floral characters described for the family Solanaceae in the text, which of the following combinations of androecium and gynoecium features is correct?","Stamens six, epipetalous; Gynoecium tricarpellary, syncarpous, ovary inferior","Stamens five, epipetalous; Gynoecium bicarpellary, syncarpous, ovary superior","Stamens five, free from petals; Gynoecium monocarpellary, syncarpous, ovary superior","Stamens four, epipetalous; Gynoecium bicarpellary, apocarpous, ovary superior",B,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-5.pdf,REJECT,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options; near_duplicate_options,MAJOR,DIRECT,,,NONE,,TYPE_CORRECT,SUITABLE,MEDIUM,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0089-d7ca0a20,BIOLOGY,12,4,chapter-4-page-26,openai,MEDIUM,application,Which of the following options describes a characteristic feature of an individual with Down's Syndrome?,Short stature and broad flat face,Tall stature with feminised characteristics,Sterility and underdeveloped feminine character,Presence of additional X-chromosome,A,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-4.pdf,INCONCLUSIVE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,GOOD,,NONE,DIRECT,,,NONE,,TYPE_MISMATCH,QUESTIONABLE,MEDIUM,UNIQUE,,0.0,MEDIUM,PREAUDIT_REVIEW,question_type_mismatch; neet_suitability_concern,LIKELY_ACCEPT,p2_3_pre_human_audit_v1
p3-mcq-0095-61029a79,BIOLOGY,12,4,chapter-4-page-6,openai,HARD,conceptual,"What would be the phenotype of a plant with the genotype Tt, given that T is dominant over t?",Tall,Dwarf,Intermediate height,Variable depending on environmental factors,A,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-4.pdf,INCONCLUSIVE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,ACCEPTABLE,length_clue,MINOR,DIRECT,,,NONE,,TYPE_CORRECT,SUITABLE_WITH_MINOR_EDIT,HARD,UNIQUE,,0.0,LOW,PREAUDIT_REVIEW,no_obvious_defect_in_automated_screening,LIKELY_ACCEPT,p2_3_pre_human_audit_v1
p3-mcq-0098-6fd6d933,BIOLOGY,11,3,pteridophytes,openai,HARD,factual,Which of the following statements about pteridophytes is true?,All pteridophytes are heterosporous.,The development of zygotes into embryos occurs within female gametophytes.,Pteridophytes thrive in dry and open environments.,All pteridophytes have a dominant gametophyte phase.,B,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-3.pdf,INCONCLUSIVE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,GOOD,,NONE,SUPPORTED_INFERENCE,,,NONE,,TYPE_CORRECT,SUITABLE,HARD,UNIQUE,,0.0,LOW,PREAUDIT_REVIEW,no_obvious_defect_in_automated_screening,LIKELY_ACCEPT,p2_3_pre_human_audit_v1
