question_id,classification,severity,root_cause,evidence,release_blocker
00d8cababe821fcf:p8:q3,TRUE_POSITIVE,HIGH,accepted_record_with_option_contamination,"quality=VALID; flags=['option_contains_foreign_question_marker']; stem=— Methylbutan— 2 —ol
CH,
|",True
10030e374de702ab:p9:q3,TRUE_POSITIVE,MEDIUM,accepted_record_with_option_contamination,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=— Methylbutan— 2 —ol
Br 61
1 |",False
10030e374de702ab:p13:q80,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Identify the product in the following reaction:
Nb fail
<<
C) tin Me/aey ether Product
(iii) HO
OH",False
10030e374de702ab:p13:q81,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Complete the following reaction :
( roteo( x
OH
x CN
IA] (B]
cone. HySO, Ic]
A 84
[C] is",False
297fcb0c37dbdddb:p9:q56,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Complete the following reaction : 60 Which
correct
9 HEN OH Law?
CN
[A] [B]
T
conc. sea [c] P",False
297fcb0c37dbdddb:p13:q80,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Identify product (A) in the following
reaction:
O
fe)
Zn-He
conc. HCl >(A)+2H,0
CH",False
34ba281c8f7a45b9:p2:q6,TRUE_POSITIVE,MEDIUM,accepted_record_with_option_contamination,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=The net magnetic flux through any closed
surface is :",False
38d7f2187e79f7a7:p19:q122,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=VALID; flags=['option_contains_foreign_question_marker']; stem=Identify the correct statements :
A. Detrivores perform fragmentation.
B. The humus is further degra",False
6c0df3028143ff02:p4:q20,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Its average speed is:
498 38",False
6c0df3028143ff02:p9:q56,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Identify product (A) in the following
reaction:
O
0)
2-18 _,(4)+2H,0
conc. HCl 2
OH 59
CH,",False
7e4dabb5a199588d:p10:q52,TRUE_POSITIVE,MEDIUM,accepted_record_with_option_contamination,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=The major product of the following reaction
is:
0 (i) CH;MgBr
er en (excess)
(ii) HzO °
3
O",False
82a7cff8dca5bb40:p9:q57,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=In Lassaigne’s extract of an organic
compound, both nitrogen and sulphur are
present, which gives bl",False
8633a3811ea07447:p5:q4,TRUE_POSITIVE,MEDIUM,accepted_record_with_option_contamination,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Nm. Calculate the magnitude of charge
on the dipole, if the dipole length is 2 cm.",False
8633a3811ea07447:p7:q43,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=A horizontal bridge is built across a river.
A student standing on the bridge throws a
small ball ve",False
8633a3811ea07447:p10:q63,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=The relation between n,,, (n,, = the number
of permissible values of magnetic quantum
number (m)) fo",False
8633a3811ea07447:p20:q133,TRUE_POSITIVE,HIGH,accepted_record_with_option_contamination,"quality=VALID; flags=['option_contains_foreign_question_marker']; stem=Given below are two statements :
Statement I : Endarch and exarch are the
terms often used for descr",True
9fcfff3f33350907:p8:q57,TRUE_POSITIVE,MEDIUM,accepted_record_with_option_contamination,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Complete the following reaction :
(roto
OH
HCN
IA] [B]
cone. H»SO4 [c]
A
[C] is ____",False
a1c3361678271d6e:p5:q30,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=The magnetic energy stored in an inductor
of inductance 4 WH carrying a current of 2A
is:",False
a1c3361678271d6e:p24:q162,TRUE_POSITIVE,HIGH,accepted_record_with_option_contamination,"quality=VALID; flags=['option_contains_foreign_question_marker']; stem=Which of the following are NOT considered
as the part of endomembrane system?
A. Mitochondria B. End",True
a1c3361678271d6e:p26:q172,TRUE_POSITIVE,MEDIUM,accepted_record_with_option_contamination,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Which of the following functions is carried
out by cytoskeleton in a cell?",False
a43894b5fbc8cd28:p9:q3,TRUE_POSITIVE,HIGH,accepted_record_with_option_contamination,quality=VALID; flags=['option_contains_foreign_question_marker']; stem=— Methylbutan— 2 -ol,True
b69d582ff457c62e:p14:q55,TRUE_POSITIVE,MEDIUM,accepted_record_with_option_contamination,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=The most stable carbocation among the following
®
is:",False
