question_id,year,paper_set,question_number,source_page,flag,classification,severity,evidence,parser_fault,release_blocker,reviewer_confidence
00d8cababe821fcf:p8:q3,2023,Paper-20231108005448,3,8,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
00d8cababe821fcf:p11:q73,2023,Paper-20231108005448,73,11,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
10030e374de702ab:p9:q3,2023,Paper-20231108010819,3,9,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
10030e374de702ab:p13:q80,2023,Paper-20231108010819,80,13,option_contains_foreign_question_marker,OCR_ARTIFACT,LOW,Embedded page/question numbers in OCR option text only,FALSE,False,MEDIUM
10030e374de702ab:p13:q81,2023,Paper-20231108010819,81,13,option_contains_foreign_question_marker,OCR_ARTIFACT,LOW,Embedded page/question numbers in OCR option text only,FALSE,False,MEDIUM
1d7ffd36a442fa95:p2:q3,2023,Paper-20231108005054,3,2,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
297fcb0c37dbdddb:p9:q56,2023,Paper-20231108005008,56,9,option_contains_foreign_question_marker,OCR_ARTIFACT,MEDIUM,Foreign marker heuristic triggered; no clear semantic contamination,INCONCLUSIVE,False,LOW
297fcb0c37dbdddb:p13:q80,2023,Paper-20231108005008,80,13,option_contains_foreign_question_marker,OCR_ARTIFACT,LOW,Embedded page/question numbers in OCR option text only,FALSE,False,MEDIUM
34ba281c8f7a45b9:p2:q6,2023,Paper-20231108011809,6,2,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,CRITICAL,Foreign question stem/text embedded in option field,TRUE,True,HIGH
38d7f2187e79f7a7:p19:q122,2023,Paper-20231108010906,122,19,option_contains_foreign_question_marker,OCR_ARTIFACT,MEDIUM,Foreign marker heuristic triggered; no clear semantic contamination,INCONCLUSIVE,False,LOW
6c0df3028143ff02:p4:q20,2023,Paper-20231108011040,20,4,option_contains_foreign_question_marker,OCR_ARTIFACT,MEDIUM,Foreign marker heuristic triggered; no clear semantic contamination,INCONCLUSIVE,False,LOW
6c0df3028143ff02:p9:q56,2023,Paper-20231108011040,56,9,option_contains_foreign_question_marker,OCR_ARTIFACT,LOW,Embedded page/question numbers in OCR option text only,FALSE,False,MEDIUM
7e4dabb5a199588d:p10:q52,2025,NEET-2025-EN-47,52,10,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,CRITICAL,Foreign question stem/text embedded in option field,TRUE,True,HIGH
82a7cff8dca5bb40:p9:q57,2023,Paper-20231108005158,57,9,option_contains_foreign_question_marker,OCR_ARTIFACT,MEDIUM,Foreign marker heuristic triggered; no clear semantic contamination,INCONCLUSIVE,False,LOW
8633a3811ea07447:p5:q4,2023,Paper-20231108004734,4,5,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,CRITICAL,Foreign question stem/text embedded in option field,TRUE,True,HIGH
8633a3811ea07447:p7:q43,2023,Paper-20231108004734,43,7,option_contains_foreign_question_marker,OCR_ARTIFACT,LOW,Embedded page/question numbers in OCR option text only,FALSE,False,MEDIUM
8633a3811ea07447:p10:q63,2023,Paper-20231108004734,63,10,option_contains_foreign_question_marker,OCR_ARTIFACT,MEDIUM,Foreign marker heuristic triggered; no clear semantic contamination,INCONCLUSIVE,False,LOW
8633a3811ea07447:p13:q82,2023,Paper-20231108004734,82,13,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
8633a3811ea07447:p20:q133,2023,Paper-20231108004734,133,20,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
87c534cad98b7b4e:p3:q7,2025,NEET-2025-EN-45,7,3,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
87c534cad98b7b4e:p13:q65,2025,NEET-2025-EN-45,65,13,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
9fcfff3f33350907:p8:q57,2023,Paper-20231108012938,57,8,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,CRITICAL,Foreign question stem/text embedded in option field,TRUE,True,HIGH
a1c3361678271d6e:p5:q30,2023,Paper-20231108004832,30,5,option_contains_foreign_question_marker,OCR_ARTIFACT,LOW,Embedded page/question numbers in OCR option text only,FALSE,False,MEDIUM
