question_number,content_item_id,subject,chapter,topic,concept,difficulty,correct_answer,ncert_source,source_page,version_no,status,human_decision,reviewer_notes,ai_special_note
1,5dc99543-bec7-4dc3-a283-548fdb62ca9c,BOTANY,photosynthesis,light-reaction,photophosphorylation,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Biology\Class 11-Biology\ncert-books-class-11-biology-chapter-11.pdf,9,1,DRAFT,,,
2,8a979c6a-d6af-4a0d-8099-05f5992b7f46,BOTANY,photosynthesis,light-reaction,photophosphorylation,hard,B,D:\ravishori\AI Neet Exam App\StudyMaterial\Biology\Class 11-Biology\ncert-books-class-11-biology-chapter-11.pdf,9,1,DRAFT,,,
3,2602f9da-13cc-42ba-b164-f02f1d7a040c,BOTANY,photosynthesis,dark-reaction,c3-c4-pathway,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Biology\Class 11-Biology\ncert-books-class-11-biology-chapter-11.pdf,15,1,DRAFT,,,
4,f81153c3-b3d6-4a0c-a908-ffb9c032bd8c,BOTANY,photosynthesis,dark-reaction,c3-c4-pathway,hard,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Biology\Class 11-Biology\ncert-books-class-11-biology-chapter-11.pdf,15,1,DRAFT,,,
5,10d4d997-cb60-4450-99e8-47ed905c9775,BOTANY,photosynthesis,factors-affecting-photosynthesis,photorespiration,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Biology\Class 11-Biology\ncert-books-class-11-biology-chapter-11.pdf,17,1,DRAFT,,,Photorespiration products twin (retained)
6,fc61e6e7-c1fd-4d2e-b009-283506e841ff,BOTANY,photosynthesis,factors-affecting-photosynthesis,photorespiration,hard,B,D:\ravishori\AI Neet Exam App\StudyMaterial\Biology\Class 11-Biology\ncert-books-class-11-biology-chapter-11.pdf,17,1,DRAFT,,,
7,e6b9fb1e-f022-4172-88c5-318213bc511b,BOTANY,photosynthesis,factors-affecting-photosynthesis,limiting-factors,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Biology\Class 11-Biology\ncert-books-class-11-biology-chapter-11.pdf,19,1,DRAFT,,,Blackman / limiting-factors taxonomy
8,8d50e829-6540-44bc-882a-6b140a33da17,BOTANY,photosynthesis,factors-affecting-photosynthesis,limiting-factors,medium,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Biology\Class 11-Biology\ncert-books-class-11-biology-chapter-11.pdf,19,2,DRAFT,,,Blackman / limiting-factors taxonomy
9,f78dbbf2-1b1e-4fe7-87aa-263699cdd30f,BOTANY,photosynthesis,dark-reaction,c3-c4-pathway,medium,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Biology\Class 11-Biology\ncert-books-class-11-biology-chapter-11.pdf,15,1,DRAFT,,,
10,85fee888-47f6-408d-ab05-39b131233322,BOTANY,photosynthesis,factors-affecting-photosynthesis,photorespiration,medium,B,D:\ravishori\AI Neet Exam App\StudyMaterial\Biology\Class 11-Biology\ncert-books-class-11-biology-chapter-11.pdf,17,2,DRAFT,,,Photorespiration pathway consequences REPLACE
