question_id,subject,chapter,question,proposed_answer,validator_verdict,preaudit_priority,preaudit_verdict,main_issue,reason,recommended_action,preaudit_answer_confidence
p3-mcq-0536-c173c10c,CHEMISTRY,5,"A complex ion [MnBr4]2– has a spin-only magnetic moment of 5.9 BM. Based on the formula μ = √(n(n + 2)) BM, how many unpaired electrons (n) are present in the d-orbitals of the Mn2+ ion?",C,MAJOR_REVISION,HIGH,PREAUDIT_REVIEW,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,HUMAN_REVIEW_OPTIONS,0.85
p3-mcq-0662-5c2d616f,CHEMISTRY,2,"Based on the standard electrode potentials provided in the excerpt for the half-cells:
1. $Pt(s) \mid H_2(g, 1\text{ bar}) \mid H^+(aq, 1\text{ M}) \parallel Cu^{2+}(aq, 1\text{ M}) \mid Cu$ ($E^\circ",C,READY,HIGH,PREAUDIT_REVIEW,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,HUMAN_REVIEW_OPTIONS,0.85
p3-mcq-0817-c3341d53,PHYSICS,3,Assertion (A): The position vector of a particle in a plane can be expressed in terms of its x and y coordinates. Reason (R): The displacement of the particle is defined as the difference between its ,A,INCONCLUSIVE,HIGH,PREAUDIT_REVIEW,distractor_quality_issue; scientific_content_concern,distractor_quality_issue; scientific_content_concern,HUMAN_VERIFY,0.75
p3-mcq-0146-d2bd4181,BIOLOGY,2,Assertion (A): Archaebacteria are specialized bacteria that thrive in extreme habitats. Reason (R): Eubacteria are characterized by a rigid cell wall and play a significant role in human affairs.,A,INCONCLUSIVE,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,0.6
p3-mcq-0344-082d226d,CHEMISTRY,9,"Given below are two statements: one is labelled as Assertion A and the other is labelled as Reason R.
Assertion A: Aniline is a weaker base than ammonia.
Reason R: Aniline is a resonance hybrid of fiv",A,READY,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,0.6
p3-mcq-0386-fb1ad1ab,CHEMISTRY,3,"Given below are two statements: one is labelled as Assertion A and the other is labelled as Reason R.

Assertion A: The average rate of a reaction cannot be used to predict the rate of a reaction at a",A,REJECT,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,0.6
p3-mcq-0677-2aab90bd,PHYSICS,8,"Given below are two statements: one is labelled as Assertion A and the other is labelled as Reason R.

Assertion A: Even an appreciably rigid steel bar undergoes deformation when a sufficiently large ",A,MAJOR_REVISION,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,0.6
p3-mcq-0712-ef901f3e,PHYSICS,2,Assertion: Potential energy is stored when work is done against conservative forces like gravitational and spring forces. Reason: The energy stored can be transformed into kinetic energy when the exte,A,INCONCLUSIVE,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,0.6
p3-mcq-0740-67a69836,PHYSICS,5,"Given below are two statements: one is labelled as Assertion A and the other is labelled as Reason R.

Assertion A: The Work-Energy theorem is an integral form of Newton's second law.
Reason R: Newton",A,MAJOR_REVISION,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,0.6
p3-mcq-0051-0e9610d5,BIOLOGY,4,"Based on the text describing allele segregation during gamete formation in a heterozygous tall plant (Tt), what is the probability (expressed as a percentage) that a given gamete produced by this plan",B,READY,HIGH,PREAUDIT_REVIEW,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,HUMAN_REVIEW_OPTIONS,0.25
p3-mcq-0240-3c9e5496,BIOLOGY,12,"Based on the details provided in the text regarding the oxidative decarboxylation of pyruvate, how many molecules of CO2 and NADH + H+ in total are produced when 6 molecules of pyruvic acid undergo th",B,REJECT,HIGH,PREAUDIT_REVIEW,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,HUMAN_REVIEW_OPTIONS,0.25
