question_id,subject,class,chapter,topic,provider,difficulty,question,option_A,option_B,option_C,option_D,proposed_answer,NCERT_source,validator_verdict,human_stem,human_option_A,human_option_B,human_option_C,human_option_D,human_answer,human_explanation,human_ncert_support,human_ambiguity,human_duplicate,human_difficulty,human_overall,reviewer_notes
mcq-0507-482a64b2,PHYSICS,11,11,"Heat, Internal Energy and Work",gemini,EASY,"According to the provided text, in which frame of reference is the internal energy (U) of a system defined as the sum of molecular kinetic and potential energies?",In a frame moving at a constant acceleration relative to the box,In the frame of reference relative to which the centre of mass of the system is at rest,In any frame moving with the maximum speed of the molecules,In a frame of reference where the total kinetic energy of the container is maximum,B,Physics/Class 11-Physics/ncert-books-class-11-physics-chapter-11.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0606-d947f3fa,BIOLOGY,11,8,Nucleus,gemini,MEDIUM,Which of the following statements regarding the nucleus and its structure is correct according to the provided text?,The perinuclear space measures about 100 to 500 nm between the two parallel membranes.,The nucleolus is enclosed by a single membrane that separates its content from the nucleoplasm.,Nuclear pores are formed by the fusion of the two membranes of the nuclear envelope.,Chromatin was first described as a cell organelle by Robert Brown in 1831.,C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-8.pdf,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0336-9aa7747b,BIOLOGY,11,19,Chemical Coordination and Integration,gemini,EASY,"According to the matching exercise in the NCERT text, which of the following correctly pairs the hormone with its respective source gland?",GnRH - Pituitary,PTH - Parathyroid,T4 - Hypothalamus,LH - Thyroid,B,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-19.pdf,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0630-c62d47c3,PHYSICS,12,2,Potential energy of a system of two charges in an external field,gemini,EASY,"According to the provided text, what is the correct expression for the total potential energy of a system of two charges $q_1$ and $q_2$, located at position vectors $\mathbf{r}_1$ and $\mathbf{r}_2$ respectively, in an external electric field?",$q_1 V(\mathbf{r}_1) + q_2 V(\mathbf{r}_2)$,$\frac{1}{4\pi\varepsilon_0} \frac{q_1 q_2}{r_{12}}$,$q_1 V(\mathbf{r}_1) + q_2 V(\mathbf{r}_2) + \frac{1}{4\pi\varepsilon_0} \frac{q_1 q_2}{r_{12}}$,$q_1 q_2 [V(\mathbf{r}_1) + V(\mathbf{r}_2)] + \frac{1}{4\pi\varepsilon_0} \frac{q_1 q_2}{r_{12}}$,C,Physics/Class 12-Physics/ncert-book-class-12-physics-part-1-chapter-2.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0033-8ca7c6d6,PHYSICS,12,1,Electric Flux,gemini,EASY,"According to the summary provided in the chapter, what are the SI unit and dimensional formula of Electric Flux?","Unit: V m⁻¹, Dimensions: [M L T⁻³ A⁻¹]","Unit: V m, Dimensions: [M L³ T⁻³ A⁻¹]","Unit: C m⁻², Dimensions: [L⁻² T A]","Unit: C m, Dimensions: [L T A]",B,Physics/Class 12-Physics/ncert-book-class-12-physics-part-1-chapter-1.pdf,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0228-ea189903,BIOLOGY,11,12,Respiratory Quotient,gemini,EASY,What is the Respiratory Quotient (RQ) when carbohydrates are used as a respiratory substrate and are completely oxidised?,0.7,1,0.9,Infinity,B,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-12.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0009-cf37d909,BIOLOGY,11,3,Bryophytes,gemini,EASY,"Based on the description and diagrams of bryophytes provided in the text, which of the following structures is found on the female thallus of Marchantia?",Antheridiophore,Archegoniophore,Capsule and Seta only,Main axis and Leaves only,B,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-3.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0393-6e3bec14,BIOLOGY,11,17,Locomotion and Movement,gemini,MEDIUM,"Which of the following statement(s) is/are correct regarding muscle fibers and skeletal muscle structure based on the given excerpt?

(i) Muscle fascicles are held together by a common collagenous connective tissue layer called fascia.
(ii) Sarcoplasmic reticulum acts as the storehouse of calcium ions in muscle fibres.
(iii) Muscle fibre is considered a syncytium because it contains a single large nucleus.
(iv) The 'I-band' or Isotropic band contains the protein myosin.",(i) and (ii) only,"(i), (ii) and (iii) only",(ii) and (iv) only,(i) and (iv) only,A,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-17.pdf,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0744-bd70d11a,CHEMISTRY,11,8,Resonance Structure,gemini,EASY,"Based on the provided NCERT text, what is the experimentally determined uniform C–C bond distance in benzene?",154 pm,139 pm,134 pm,275 pm,B,Chemistry/Class 11- Chemistry/ncert-books-class-11-chemistry-chapter-8.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0054-ce78db05,CHEMISTRY,12,5,Coordination Compounds,gemini,MEDIUM,"What is the observed colour change when the molar ratio of ethane-1,2-diamine (en) to Ni increases to 3:1 during the progressive addition of 'en' to an aqueous solution of [Ni(H2O)6]2+?",Green to Pale blue,Pale blue to Blue/purple,Blue/purple to Violet,Green to White,C,Chemistry/Class 12- Chemistry/ncert-books-class-12-chemistry-chapter-5.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
